order_id,store_id,customer_id,order_name,order_created_at,order_updated_at,order_status,fulfillment_status,type,price,item_ids,address,packing,tracking,tags,axb_tags,group_id,group_status,synced_at,payments,parent_order_id,child_index,return_index,reship_index,warehouse_id,shipping_service,delivery_order_created_at,shipped_out_at,created_at,updated_at,created_at_ym,axb_auto_created_version
354710218,qoo10-01,amuse,354710218,1742462980000,1742463384056,PAID,UNFULFILLED,,"{tax=null, shipping_charge=0.0, shipping_discount_amount=0.0, currency=JPY, product_price=null, billing_price=3300.0, discount_amount=165.0, total_price=3300.0, total_list_price=3620.0, total_selling_price=3300.0, discount_amount_excluding_item_discount=165.0, total_price_excluding_shipping_charge=3135.0, total_billing_price=null, final_billing_price=3300.0, total_price_including_shipping_charge=3135.0, promotions=null}",,"{sender=null, shipping={country=Japan, country_code=JP, state=茨城県, state_code=08, city=null, postal_code=300-2521}}",,"{shipping_service_id=null, shipping_service_name=null, carrier_id=null, carrier_name=null, issuer_id=null, version=null, contract_id=null, carrier_account_id=null, tracking_number=null, tracking_url=null, shipping_created_at=null, sync_tried_at=null, synced_at=null, synced_by=null, error_code=null, partner_id=null, errors=null, label_url=null, invoice_url=null, waybill_doc_url=null, printed_at=null, print_detail=null, registration_number=null, packages=null, physical_invoice_required=null, waybill_doc_paper_id=null, invoice_paper_id=null, label_paper_id=null, ci_url=null, ship_from=null, is_uploaded_tracking_number=null, async_create_shipment=null}",신규주문,,DEFAULT,INITIALIZED,1742463383223,"[{method=PayPay, paid_at=1742462985000, billing_price=3300.0}]",,,,,,,,,1742463383712,1742463384060,202503,1742463384063
387694-20250320-0753330568,rakuten-01,amuse,387694-20250320-0753330568,1742460441000,1742460743471,PAID,UNFULFILLED,,"{tax=0.0, shipping_charge=0.0, shipping_discount_amount=0.0, currency=JPY, product_price=1568.0, billing_price=0.0, discount_amount=0.0, total_price=1568.0, total_list_price=1568.0, total_selling_price=1568.0, discount_amount_excluding_item_discount=0.0, total_price_excluding_shipping_charge=1568.0, total_billing_price=null, final_billing_price=0.0, total_price_including_shipping_charge=1568.0, promotions=[{amount_type=fixed, amount=1568, unit=1, promotion_name=null, promotion_code=null, promoter=consumer, type=point}]}",,"{sender=null, shipping={country=Japan, country_code=JP, state=東京都, state_code=13, city=品川区, postal_code=142-0063}}",,"{shipping_service_id=null, shipping_service_name=null, carrier_id=null, carrier_name=null, issuer_id=null, version=null, contract_id=null, carrier_account_id=null, tracking_number=null, tracking_url=null, shipping_created_at=null, sync_tried_at=null, synced_at=null, synced_by=null, error_code=null, partner_id=null, errors=null, label_url=null, invoice_url=null, waybill_doc_url=null, printed_at=null, print_detail=null, registration_number=null, packages=null, physical_invoice_required=null, waybill_doc_paper_id=null, invoice_paper_id=null, label_paper_id=null, ci_url=null, ship_from=null, is_uploaded_tracking_number=null, async_create_shipment=null}",,,DEFAULT,INITIALIZED,,"[{method=クレジットカード, paid_at=1742462291000, billing_price=0.0}]",,0,,,,,,,1742460743178,1742462723662,202503,1742462723669
354710796,qoo10-01,amuse,354710796,1742463974000,1742464043943,PAID,UNFULFILLED,,"{tax=null, shipping_charge=0.0, shipping_discount_amount=0.0, currency=JPY, product_price=null, billing_price=2516.0, discount_amount=200.0, total_price=2516.0, total_list_price=2800.0, total_selling_price=2516.0, discount_amount_excluding_item_discount=200.0, total_price_excluding_shipping_charge=2316.0, total_billing_price=null, final_billing_price=2516.0, total_price_including_shipping_charge=2316.0, promotions=null}",,"{sender=null, shipping={country=Japan, country_code=JP, state=神奈川県, state_code=14, city=null, postal_code=242-0029}}",,"{shipping_service_id=null, shipping_service_name=null, carrier_id=null, carrier_name=null, issuer_id=null, version=null, contract_id=null, carrier_account_id=null, tracking_number=null, tracking_url=null, shipping_created_at=null, sync_tried_at=null, synced_at=null, synced_by=null, error_code=null, partner_id=null, errors=null, label_url=null, invoice_url=null, waybill_doc_url=null, printed_at=null, print_detail=null, registration_number=null, packages=null, physical_invoice_required=null, waybill_doc_paper_id=null, invoice_paper_id=null, label_paper_id=null, ci_url=null, ship_from=null, is_uploaded_tracking_number=null, async_create_shipment=null}",신규주문,,DEFAULT,INITIALIZED,1742464043201,"[{method=PayPay, paid_at=1742463975000, billing_price=2516.0}]",,,,,,,,,1742464043667,1742464043949,202503,1742464043953
354710129,qoo10-01,amuse,354710129,1742462853000,1742463384107,PAID,UNFULFILLED,,"{tax=null, shipping_charge=0.0, shipping_discount_amount=0.0, currency=JPY, product_price=null, billing_price=1370.0, discount_amount=0.0, total_price=1370.0, total_list_price=1500.0, total_selling_price=1370.0, discount_amount_excluding_item_discount=0.0, total_price_excluding_shipping_charge=1370.0, total_billing_price=null, final_billing_price=1370.0, total_price_including_shipping_charge=1370.0, promotions=null}",,"{sender=null, shipping={country=Japan, country_code=JP, state=富山県, state_code=16, city=null, postal_code=931-8314}}",,"{shipping_service_id=null, shipping_service_name=null, carrier_id=null, carrier_name=null, issuer_id=null, version=null, contract_id=null, carrier_account_id=null, tracking_number=null, tracking_url=null, shipping_created_at=null, sync_tried_at=null, synced_at=null, synced_by=null, error_code=null, partner_id=null, errors=null, label_url=null, invoice_url=null, waybill_doc_url=null, printed_at=null, print_detail=null, registration_number=null, packages=null, physical_invoice_required=null, waybill_doc_paper_id=null, invoice_paper_id=null, label_paper_id=null, ci_url=null, ship_from=null, is_uploaded_tracking_number=null, async_create_shipment=null}",신규주문,,DEFAULT,INITIALIZED,1742463383223,"[{method=JCB, paid_at=1742462855000, billing_price=1370.0}]",,,,,,,,,1742463383680,1742463384118,202503,1742463384122
6600694137130,shopify-00,gbgh,JP1451,1742462864000,1742462868014,PAID,UNFULFILLED,,"{tax=0.0, shipping_charge=1000.0, shipping_discount_amount=0.0, currency=JPY, product_price=null, billing_price=12569.0, discount_amount=1286.0, total_price=12855.0, total_list_price=12855.0, total_selling_price=12855.0, discount_amount_excluding_item_discount=1286.0, total_price_excluding_shipping_charge=11569.0, total_billing_price=null, final_billing_price=12569.0, total_price_including_shipping_charge=12569.0, promotions=null}",,"{sender=null, shipping={country=Japan, country_code=JP, state=東京都, state_code=JP-13, city=文京区, postal_code=113-0033}}",,"{shipping_service_id=null, shipping_service_name=null, carrier_id=null, carrier_name=null, issuer_id=null, version=null, contract_id=null, carrier_account_id=null, tracking_number=null, tracking_url=null, shipping_created_at=null, sync_tried_at=null, synced_at=null, synced_by=null, error_code=null, partner_id=null, errors=null, label_url=null, invoice_url=null, waybill_doc_url=null, printed_at=null, print_detail=null, registration_number=null, packages=null, physical_invoice_required=null, waybill_doc_paper_id=null, invoice_paper_id=null, label_paper_id=null, ci_url=null, ship_from=null, is_uploaded_tracking_number=null, async_create_shipment=null}",Standard,,DEFAULT,INITIALIZED,1742462867000,"[{method=shopify_payments, paid_at=null, billing_price=null}]",,,,,,,,,1742462867754,1742463442053,202503,1742463442061
